"","Species","Pop_ID","Pop_Name","CU_ID","lat","lon","FAZ","MAZ","JAZ","FWA_WATERSHED_CODE","Pop_UID"
"CO-04.46133","Co","46133","JOHN SANDY CREEK","CO-04",50.48484089,-122.9444129,"LILL","GStr","LILL+GStr","100-077501-955583-596718-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.46133"
"CO-04.69300","Co","69300","KAKILA CREEK","CO-04",50.12032744,-122.5275928,"LILL","GStr","LILL+GStr","100-077501-955583-301179-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.69300"
"CO-04.46964","Co","46964","LILLOOET RIVER-LOWER","CO-04",49.74741205,-122.1500543,"LILL","GStr","LILL+GStr","100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.46964"
"CO-04.46026","Co","46026","LILLOOET RIVER-UPPER","CO-04",50.30287519,-122.6340291,"LILL","GStr","LILL+GStr","100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.46026"
"CO-04.46128","Co","46128","MCKENZIE CREEK","CO-04",50.37490607,-122.8438127,"LILL","GStr","LILL+GStr","100-077501-955583-524958-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.46128"
"CO-04.46118","Co","46118","MILLER CREEK/LILL","CO-04",50.35615798,-122.8325957,"LILL","GStr","LILL+GStr","100-077501-955583-514693-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.46118"
"CO-04.46113","Co","46113","PEMBERTON CREEK","CO-04",50.30854893,-122.7670817,"LILL","GStr","LILL+GStr","100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.46113"
"CO-04.46103","Co","46103","POOLE CREEK","CO-04",50.43542667,-122.6930628,"LILL","GStr","LILL+GStr","100-077501-955583-415280-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.46103"
"CO-04.46148","Co","46148","RAILROAD CREEK","CO-04",50.53034875,-123.0505462,"LILL","GStr","LILL+GStr","100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.46148"
"CO-04.46123","Co","46123","RYAN RIVER","CO-04",50.3589405,-122.8356076,"LILL","GStr","LILL+GStr","100-077501-955583-515913-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.46123"
"CO-04.46139","Co","46139","SALMON CREEK/LILL","CO-04",50.48833354,-122.9546172,"LILL","GStr","LILL+GStr","100-077501-955583-600648-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.46139"
"CO-04.46153","Co","46153","SAMPSON CREEK","CO-04",50.53344979,-123.1181936,"LILL","GStr","LILL+GStr","100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.46153"
"CO-04.44618","Co","44618","SAMPSON SLOUGH","CO-04",50.52620425,-123.0524434,"LILL","GStr","LILL+GStr","100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.44618"
"CO-04.46094","Co","46094","SLOQUET CREEK","CO-04",49.76499948,-122.2029894,"LILL","GStr","LILL+GStr","100-077501-955583-030689-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.46094"
"CO-04.69299","Co","69299","SNOWCAP CREEK","CO-04",49.93231707,-122.4019926,"LILL","GStr","LILL+GStr","100-077501-955583-162240-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.69299"
"CO-04.69301","Co","69301","UNNAMED-W SIDE LITTLE LILLOOET LAKE","CO-04",50.07732432,-122.549959,"LILL","GStr","LILL+GStr","100-077501-955583-267449-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-04.69301"
"CO-05.47140","Co","47140","AMERICAN CREEK","CO-05",49.43259386,-121.4376428,"FRCany","GStr","FRCany+GStr","100-117583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-05.47140"
"CO-05.47153","Co","47153","ANDERSON RIVER","CO-05",49.84240911,-121.4385973,"FRCany","GStr","FRCany+GStr","100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-05.47153"
"CO-05.47122","Co","47122","COQUIHALLA RIVER","CO-05",49.39412983,-121.438954,"FRCany","GStr","FRCany+GStr","100-113848-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-05.47122"
"CO-05.47114","Co","47114","HUNTER CREEK/FRCany","CO-05",49.35672625,-121.5739293,"FRCany","GStr","FRCany+GStr","100-104902-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-05.47114"
"CO-05.61788","Co","61788","NAHATLATCH LAKE","CO-05",50.00441549,-121.7213805,"FRCany","GStr","FRCany+GStr","100-168517-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-05.61788"
"CO-05.47159","Co","47159","NAHATLATCH RIVER","CO-05",49.9779149,-121.5120321,"FRCany","GStr","FRCany+GStr","100-168517-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-05.47159"
"CO-05.47111","Co","47111","RUBY CREEK/FRCany","CO-05",49.35261616,-121.6072969,"FRCany","GStr","FRCany+GStr","100-103301-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-05.47111"
"CO-05.47118","Co","47118","SILVERHOPE CREEK","CO-05",49.37022289,-121.463219,"FRCany","GStr","FRCany+GStr","100-111269-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-05.47118"
"CO-05.2422","Co","2422","STEVEN CREEK","CO-05",49.38443274,-121.3930183,"FRCany","GStr","FRCany+GStr","100-113848-030843-384767-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-05.2422"
"CO-05.47127","Co","47127","SUCKER CREEK","CO-05",49.38284718,-121.4232325,"FRCany","GStr","FRCany+GStr","100-113848-030843-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-05.47127"
"CO-07.46200","Co","46200","BONAPARTE RIVER","CO-07",50.73957155,-121.2600159,"LTh","GStr","LTh+GStr","100-190442-506118-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-07.46200"
"CO-07.44965","Co","44965","CLAPPERTON CREEK","CO-07",50.1627993,-120.6694079,"LTh","GStr","LTh+GStr","100-190442-244975-463869-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-07.44965"
"CO-07.46190","Co","46190","COLDWATER RIVER","CO-07",50.11464531,-120.8036115,"LTh","GStr","LTh+GStr","100-190442-244975-337574-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-07.46190"
"CO-07.46210","Co","46210","DEADMAN RIVER","CO-07",50.74441531,-120.9194659,"LTh","GStr","LTh+GStr","100-190442-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-07.46210"
"CO-07.128","Co","128","GUICHON CREEK/LTh","CO-07",50.14500192,-120.8854535,"LTh","GStr","LTh+GStr","100-190442-244975-296261-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-07.128"
"CO-07.46170","Co","46170","NICOLA RIVER","CO-07",50.4271377,-121.316685,"LTh","GStr","LTh+GStr","100-190442-244975-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-07.46170"
"CO-07.44736","Co","44736","NICOLA RIVER-UPPER","CO-07",50.13736652,-120.7078131,"LTh","GStr","LTh+GStr","100-190442-244975-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-07.44736"
"CO-07.46180","Co","46180","SPIUS CREEK","CO-07",50.14716324,-121.0208052,"LTh","GStr","LTh+GStr","100-190442-244975-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-07.46180"
"CO-07.44975","Co","44975","TRANQUILLE RIVER","CO-07",50.71983933,-120.5355539,"LTh","GStr","LTh+GStr","100-190442-906230-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-07.44975"
"CO-08.46240","Co","46240","ADAMS RIVER","CO-08",50.89386286,-119.5505675,"STh","GStr","STh+GStr","100-190442-999098-995997-058910-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46240"
"CO-08.46250","Co","46250","ADAMS RIVER-UPPER","CO-08",51.41089723,-119.45611,"STh","GStr","STh+GStr","100-190442-999098-995997-058910-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46250"
"CO-08.46350","Co","46350","ANSTEY RIVER","CO-08",51.13123921,-118.8994306,"STh","GStr","STh+GStr","100-190442-999098-995997-520730-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46350"
"CO-08.46542","Co","46542","BESSETTE CREEK","CO-08",50.3065408,-118.8231096,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-543292-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46542"
"CO-08.46461","Co","46461","BLURTON CREEK","CO-08",50.68893864,-119.0527944,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-094096-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46461"
"CO-08.46411","Co","46411","BOLEAN CREEK","CO-08",50.49884109,-119.5614753,"STh","GStr","STh+GStr","100-190442-999098-995997-990301-431572-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46411"
"CO-08.46421","Co","46421","CANOE CREEK/STh","CO-08",50.754669,-119.2217339,"STh","GStr","STh+GStr","100-190442-999098-995997-893719-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46421"
"CO-08.46280","Co","46280","CAYENNE CREEK","CO-08",51.32071477,-119.3196927,"STh","GStr","STh+GStr","100-190442-999098-995997-058910-326444-537363-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46280"
"CO-08.46320","Co","46320","CELISTA CREEK","CO-08",51.19733738,-119.0048077,"STh","GStr","STh+GStr","100-190442-999098-995997-492708-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46320"
"CO-08.806","Co","806","CRAZY CREEK/STh","CO-08",50.99115159,-118.6470889,"STh","GStr","STh+GStr","100-190442-999098-995997-725308-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.806"
"CO-08.46552","Co","46552","CREIGHTON CREEK","CO-08",50.24607803,-118.9553181,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-543292-564986-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46552"
"CO-08.46501","Co","46501","DANFORTH CREEK","CO-08",50.69585876,-118.7457229,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-373026-397952-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46501"
"CO-08.46562","Co","46562","DUTEAU CREEK","CO-08",50.2516302,-118.9594602,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-543292-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46562"
"CO-08.46360","Co","46360","EAGLE RIVER","CO-08",50.84336958,-119.0109085,"STh","GStr","STh+GStr","100-190442-999098-995997-725308-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46360"
"CO-08.46471","Co","46471","FORTUNE CREEK/STh","CO-08",50.54128327,-119.1315308,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-210601-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46471"
"CO-08.3069","Co","3069","HARBOUR CREEK","CO-08",51.541347,-119.3021033,"STh","GStr","STh+GStr","100-190442-999098-995997-058910-518106-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.3069"
"CO-08.132","Co","132","HIUIHILL CREEK","CO-08",50.92252401,-119.6338982,"STh","GStr","STh+GStr","100-190442-999098-995997-058910-043375-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.132"
"CO-08.46340","Co","46340","HUNAKWA CREEK","CO-08",51.13383191,-118.9175881,"STh","GStr","STh+GStr","100-190442-999098-995997-520714-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46340"
"CO-08.46532","Co","46532","IRELAND CREEK","CO-08",50.39522794,-118.782024,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46532"
"CO-08.46451","Co","46451","JOHNSON CREEK","CO-08",50.69726845,-119.051375,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-089853-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46451"
"CO-08.46491","Co","46491","KINGFISHER CREEK/STh","CO-08",50.61256505,-118.7431328,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-373026-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46491"
"CO-08.7475","Co","7475","LOFTUS CREEK","CO-08",50.93048131,-118.8020418,"STh","GStr","STh+GStr","100-190442-999098-995997-725308-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.7475"
"CO-08.45016","Co","45016","MCNOMEE CREEK","CO-08",51.26468696,-118.9454165,"STh","GStr","STh+GStr","100-190442-999098-995997-492860-064395-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.45016"
"CO-08.45017","Co","45017","MCNOMEE CREEK","CO-08",51.26468696,-118.9454165,"STh","GStr","STh+GStr","100-190442-999098-995997-492860-064395-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.45017"
"CO-08.46270","Co","46270","MOMICH RIVER","CO-08",51.3346128,-119.4231818,"STh","GStr","STh+GStr","100-190442-999098-995997-058910-326444-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46270"
"CO-08.46572","Co","46572","NICKLEN CREEK","CO-08",50.20211118,-119.0042515,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-543292-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46572"
"CO-08.3071","Co","3071","NIKWIKWAIA CREEK","CO-08",50.938893,-119.6551932,"STh","GStr","STh+GStr","100-190442-999098-995997-058910-057838-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.3071"
"CO-08.46511","Co","46511","NOISY CREEK","CO-08",50.70671468,-118.6565973,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-384513-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46511"
"CO-08.46300","Co","46300","ONYX CREEK","CO-08",50.95367081,-119.2828115,"STh","GStr","STh+GStr","100-190442-999098-995997-296515-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46300"
"CO-08.46370","Co","46370","OWLHEAD CREEK","CO-08",50.85044272,-118.9480577,"STh","GStr","STh+GStr","100-190442-999098-995997-725308-118930-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46370"
"CO-08.133","Co","133","PERRY RIVER/STh","CO-08",50.99447159,-118.6881933,"STh","GStr","STh+GStr","100-190442-999098-995997-725308-568657-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.133"
"CO-08.46401","Co","46401","SALMON RIVER/STh","CO-08",50.69681861,-119.3112952,"STh","GStr","STh+GStr","100-190442-999098-995997-999017-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46401"
"CO-08.46290","Co","46290","SCOTCH CREEK","CO-08",50.90709332,-119.4921574,"STh","GStr","STh+GStr","100-190442-999098-995997-088471-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46290"
"CO-08.3074","Co","3074","SENN CREEK","CO-08",50.94465633,-118.7927219,"STh","GStr","STh+GStr","100-190442-999098-995997-725308-430439-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.3074"
"CO-08.46330","Co","46330","SEYMOUR RIVER/STh","CO-08",51.23862931,-118.9593268,"STh","GStr","STh+GStr","100-190442-999098-995997-492860-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46330"
"CO-08.61789","Co","61789","SHUSWAP LAKE","CO-08",50.8816175,-119.5591186,"STh","GStr","STh+GStr","100-190442-999098-995997-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.61789"
"CO-08.46431","Co","46431","SHUSWAP RIVER-LOWER","CO-08",50.72141906,-119.0468253,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46431"
"CO-08.46441","Co","46441","SHUSWAP RIVER-MIDDLE","CO-08",50.43116687,-118.7500343,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46441"
"CO-08.1720","Co","1720","SHUSWAP RIVER-MIDDLE","CO-08",50.43116687,-118.7500343,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.1720"
"CO-08.46260","Co","46260","SINMAX CREEK","CO-08",51.07678213,-119.7869024,"STh","GStr","STh+GStr","100-190442-999098-995997-058910-140766-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46260"
"CO-08.46380","Co","46380","SOUTH PASS CREEK","CO-08",50.92728991,-118.4741456,"STh","GStr","STh+GStr","100-190442-999098-995997-725308-815291-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46380"
"CO-08.46391","Co","46391","TAPPEN CREEK","CO-08",50.77337655,-119.3364157,"STh","GStr","STh+GStr","100-190442-999098-995997-943954-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46391"
"CO-08.7420","Co","7420","TETO CREEK","CO-08",50.99018359,-118.645778,"STh","GStr","STh+GStr","100-190442-999098-995997-725308-623111-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.7420"
"CO-08.46481","Co","46481","TRINITY CREEK","CO-08",50.53944704,-118.9640309,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-273538-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46481"
"CO-08.2622","Co","2622","TSUIUS CREEK","CO-08",50.62694248,-118.6838084,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-384771-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.2622"
"CO-08.46521","Co","46521","WAP CREEK","CO-08",50.7266859,-118.6143622,"STh","GStr","STh+GStr","100-190442-999098-995997-730848-384566-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.46521"
"CO-08.3217","Co","3217","WRIGHT CREEK","CO-08",51.13699525,-118.990939,"STh","GStr","STh+GStr","100-190442-999098-995997-493243-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.3217"
"CO-08.7476","Co","7476","YARD CREEK","CO-08",50.90768072,-118.8213384,"STh","GStr","STh+GStr","100-190442-999098-995997-725308-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-08.7476"
"CO-09.46825","Co","46825","ALBREDA RIVER","CO-09",52.47949897,-119.1307005,"NTh","GStr","NTh+GStr","100-190442-998192-823461-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.46825"
"CO-09.46743","Co","46743","AVOLA CREEK","CO-09",51.78038686,-119.3204442,"NTh","GStr","NTh+GStr","100-190442-998192-564929-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.46743"
"CO-09.46602","Co","46602","BARRIERE RIVER","CO-09",51.17371372,-120.1387374,"NTh","GStr","NTh+GStr","100-190442-998192-185576-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.46602"
"CO-09.69032","Co","69032","BIRCH ISLAND CHANNEL","CO-09",51.5874266,-119.8714811,"NTh","GStr","NTh+GStr","100-190442-998192-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.69032"
"CO-09.46795","Co","46795","BLUE RIVER","CO-09",52.10461061,-119.2796415,"NTh","GStr","NTh+GStr","100-190442-998192-678593-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.46795"
"CO-09.46692","Co","46692","BROOKFIELD CREEK","CO-09",51.6424404,-120.0771351,"NTh","GStr","NTh+GStr","100-190442-998192-349877-006517-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.46692"
"CO-09.46805","Co","46805","CEDAR CREEK/NTh","CO-09",52.1330782,-119.2849465,"NTh","GStr","NTh+GStr","100-190442-998192-690891-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.46805"
"CO-09.46682","Co","46682","CLEARWATER RIVER","CO-09",51.63318645,-120.0809956,"NTh","GStr","NTh+GStr","100-190442-998192-349877-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.46682"
"CO-09.3073","Co","3073","CLEMINA CREEK","CO-09",52.56552094,-119.1047322,"NTh","GStr","NTh+GStr","100-190442-998192-823461-395248-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.3073"
"CO-09.46815","Co","46815","COOK CREEK/NTh","CO-09",52.14704119,-119.2677808,"NTh","GStr","NTh+GStr","100-190442-998192-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.46815"
"CO-09.46761","Co","46761","CROSSING CREEK","CO-09",51.80622286,-119.3096627,"NTh","GStr","NTh+GStr","100-190442-998192-572559-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.46761"
"CO-09.53130","Co","53130","DARLINGTON CREEK","CO-09",51.32064372,-120.1738351,"NTh","GStr","NTh+GStr","100-190442-998192-239435-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.53130"
"CO-09.3445","Co","3445","DOMINION CREEK","CO-09",52.5011682,-119.1149404,"NTh","GStr","NTh+GStr","100-190442-998192-823461-116982-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.3445"
"CO-09.3072","Co","3072","DORA CREEK","CO-09",52.56435512,-119.1052412,"NTh","GStr","NTh+GStr","100-190442-998192-823461-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.3072"
"CO-09.46652","Co","46652","DUNN CREEK","CO-09",51.45876631,-120.1458021,"NTh","GStr","NTh+GStr","100-190442-998192-288800-076644-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.46652"
"CO-09.46612","Co","46612","EAST BARRIERE RIVER","CO-09",51.24396005,-119.9341754,"NTh","GStr","NTh+GStr","100-190442-998192-185576-297859-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.46612"
"CO-09.46784","Co","46784","FINN CREEK","CO-09",51.89646724,-119.3237098,"NTh","GStr","NTh+GStr","100-190442-998192-602714-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.46784"
"CO-09.46792","Co","46792","GOOSE CREEK/NTh","CO-09",52.07926533,-119.296718,"NTh","GStr","NTh+GStr","100-190442-998192-668896-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.46792"
"CO-09.46622","Co","46622","HAGGARD CREEK","CO-09",51.24352385,-119.9291028,"NTh","GStr","NTh+GStr","100-190442-998192-185576-297859-015779-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.46622"
"CO-09.1170","Co","1170","HARPER CREEK","CO-09",51.32005963,-119.8803366,"NTh","GStr","NTh+GStr","100-190442-998192-185576-497452-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.1170"
"CO-09.46642","Co","46642","LEMIEUX CREEK","CO-09",51.42377413,-120.2004172,"NTh","GStr","NTh+GStr","100-190442-998192-274759-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.46642"
"CO-09.53131","Co","53131","LINDQUIST CREEK","CO-09",51.3196589,-120.172913,"NTh","GStr","NTh+GStr","100-190442-998192-239435-011540-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CO-09.53131"
